XCOORD,YCOORD
2.75469,0.00000
2.76069,0.02000
2.76669,0.04000
2.77264,0.06000
2.77867,0.08000
2.78457,0.10000
2.79062,0.12000
2.79664,0.14000
2.80258,0.16000
2.80858,0.18000
2.81457,0.20000
2.82055,0.22000
2.82654,0.24000
2.83252,0.26000
2.83849,0.28000
2.84452,0.30000
2.85048,0.32000
2.85656,0.34000
2.86248,0.36000
2.86840,0.38000
2.87444,0.40000
2.88056,0.42000
2.88648,0.44000
2.89250,0.46000
2.89846,0.48000
2.90447,0.50000
2.91049,0.52000
2.91648,0.54000
2.92254,0.56000
2.92861,0.58000
2.93463,0.60000
2.94058,0.62000
2.94669,0.64000
2.95275,0.66000
2.95875,0.68000
2.96475,0.70000
2.97084,0.72000
2.97689,0.74000
2.98308,0.76000
2.98907,0.78000
2.99517,0.80000
3.00127,0.82000
3.00737,0.84000
3.01359,0.86000
3.01957,0.88000
3.02578,0.90000
3.03198,0.92000
3.03802,0.94000
3.04422,0.96000
3.05035,0.98000
3.05658,1.00000
3.06272,1.02000
3.06904,1.04000
3.07513,1.06000
3.08149,1.08000
3.08770,1.10000
3.09384,1.12000
3.10027,1.14000
3.10652,1.16000
3.11270,1.18000
3.11901,1.20000
3.12536,1.22000
3.13173,1.24000
3.13807,1.26000
3.14450,1.28000
3.15083,1.30000
3.15731,1.32000
3.16361,1.34000
3.17009,1.36000
3.17654,1.38000
3.18308,1.40000
3.18953,1.42000
3.19610,1.44000
3.20257,1.46000
3.20924,1.48000
3.21587,1.50000
3.22240,1.52000
3.22903,1.54000
3.23563,1.56000
3.24243,1.58000
3.24912,1.60000
3.25578,1.62000
3.26265,1.64000
3.26941,1.66000
3.27610,1.68000
3.28310,1.70000
3.28990,1.72000
3.29684,1.74000
3.30374,1.76000
3.31071,1.78000
3.31763,1.80000
3.32464,1.82000
3.33177,1.84000
3.33885,1.86000
3.34600,1.88000
3.35316,1.90000
3.36053,1.92000
3.36777,1.94000
3.37500,1.96000
3.38226,1.98000
3.38967,2.00000
3.39707,2.02000
3.40467,2.04000
3.41220,2.06000
3.41967,2.08000
3.42744,2.10000
3.43494,2.12000
3.44281,2.14000
3.45057,2.16000
3.45830,2.18000
3.46625,2.20000
3.47414,2.22000
3.48218,2.24000
3.49024,2.26000
3.49845,2.28000
3.50647,2.30000
3.51488,2.32000
3.52321,2.34000
3.53145,2.36000
3.53988,2.38000
3.54841,2.40000
3.55716,2.42000
3.56580,2.44000
3.57463,2.46000
3.58342,2.48000
3.59253,2.50000
3.60141,2.52000
3.61064,2.54000
3.61987,2.56000
3.62922,2.58000
3.63855,2.60000
3.64803,2.62000
3.65773,2.64000
3.66743,2.66000
3.67743,2.68000
3.68726,2.70000
3.69740,2.72000
3.70764,2.74000
3.71792,2.76000
3.72859,2.78000
3.73929,2.80000
3.74986,2.82000
3.76072,2.84000
3.77191,2.86000
3.78309,2.88000
3.79448,2.90000
3.80612,2.92000
3.81776,2.94000
3.82985,2.96000
3.84200,2.98000
3.85422,3.00000
3.86672,3.02000
3.87952,3.04000
3.89242,3.06000
3.90565,3.08000
3.91918,3.10000
3.93283,3.12000
3.94683,3.14000
3.96085,3.16000
3.97542,3.18000
3.99017,3.20000
3.98000,3.18628
4.00000,3.21295
