XCOORD,YCOORD
2.96091,0.00000
2.96725,0.02000
2.97355,0.04000
2.98007,0.06000
2.98636,0.08000
2.99279,0.10000
2.99921,0.12000
3.00560,0.14000
3.01201,0.16000
3.01835,0.18000
3.02482,0.20000
3.03123,0.22000
3.03775,0.24000
3.04413,0.26000
3.05058,0.28000
3.05701,0.30000
3.06355,0.32000
3.07000,0.34000
3.07642,0.36000
3.08299,0.38000
3.08949,0.40000
3.09593,0.42000
3.10244,0.44000
3.10896,0.46000
3.11560,0.48000
3.12215,0.50000
3.12858,0.52000
3.13526,0.54000
3.14187,0.56000
3.14835,0.58000
3.15496,0.60000
3.16159,0.62000
3.16826,0.64000
3.17489,0.66000
3.18159,0.68000
3.18823,0.70000
3.19500,0.72000
3.20162,0.74000
3.20838,0.76000
3.21512,0.78000
3.22178,0.80000
3.22860,0.82000
3.23539,0.84000
3.24227,0.86000
3.24906,0.88000
3.25583,0.90000
3.26276,0.92000
3.26960,0.94000
3.27656,0.96000
3.28341,0.98000
3.29032,1.00000
3.29734,1.02000
3.30427,1.04000
3.31130,1.06000
3.31829,1.08000
3.32540,1.10000
3.33244,1.12000
3.33959,1.14000
3.34664,1.16000
3.35380,1.18000
3.36107,1.20000
3.36818,1.22000
3.37542,1.24000
3.38275,1.26000
3.39000,1.28000
3.39723,1.30000
3.40462,1.32000
3.41195,1.34000
3.41940,1.36000
3.42675,1.38000
3.43427,1.40000
3.44181,1.42000
3.44930,1.44000
3.45696,1.46000
3.46447,1.48000
3.47219,1.50000
3.47991,1.52000
3.48752,1.54000
3.49531,1.56000
3.50312,1.58000
3.51098,1.60000
3.51883,1.62000
3.52676,1.64000
3.53482,1.66000
3.54282,1.68000
3.55082,1.70000
3.55898,1.72000
3.56713,1.74000
3.57528,1.76000
3.58361,1.78000
3.59187,1.80000
3.60028,1.82000
3.60858,1.84000
3.61724,1.86000
3.62562,1.88000
3.63433,1.90000
3.64298,1.92000
3.65155,1.94000
3.66049,1.96000
3.66922,1.98000
3.67814,2.00000
3.68703,2.02000
3.69614,2.04000
3.70530,2.06000
3.71444,2.08000
3.72374,2.10000
3.73303,2.12000
3.74253,2.14000
3.75194,2.16000
3.76155,2.18000
3.77115,2.20000
3.78094,2.22000
3.79084,2.24000
3.80074,2.26000
3.81074,2.28000
3.82075,2.30000
3.83108,2.32000
3.84140,2.34000
3.85185,2.36000
3.86231,2.38000
3.87300,2.40000
3.88367,2.42000
3.89456,2.44000
3.90551,2.46000
3.91670,2.48000
3.92784,2.50000
3.93942,2.52000
3.95081,2.54000
3.96244,2.56000
3.97424,2.58000
3.98624,2.60000
3.99821,2.62000
4.00000,2.62294
