XCOORD,YCOORD
2.36713,0.00000
2.37250,0.02000
2.37785,0.04000
2.38308,0.06000
2.38840,0.08000
2.39368,0.10000
2.39896,0.12000
2.40421,0.14000
2.40934,0.16000
2.41462,0.18000
2.41990,0.20000
2.42500,0.22000
2.43019,0.24000
2.43533,0.26000
2.44048,0.28000
2.44562,0.30000
2.45067,0.32000
2.45587,0.34000
2.46087,0.36000
2.46606,0.38000
2.47106,0.40000
2.47602,0.42000
2.48107,0.44000
2.48612,0.46000
2.49117,0.48000
2.49618,0.50000
2.50108,0.52000
2.50618,0.54000
2.51108,0.56000
2.51594,0.58000
2.52089,0.60000
2.52584,0.62000
2.53079,0.64000
2.53570,0.66000
2.54050,0.68000
2.54550,0.70000
2.55030,0.72000
2.55520,0.74000
2.56010,0.76000
2.56480,0.78000
2.56969,0.80000
2.57439,0.82000
2.57928,0.84000
2.58402,0.86000
2.58876,0.88000
2.59351,0.90000
2.59823,0.92000
2.60302,0.94000
2.60781,0.96000
2.61253,0.98000
2.61716,1.00000
2.62200,1.02000
2.62649,1.04000
2.63117,1.06000
2.63585,1.08000
2.64054,1.10000
2.64527,1.12000
2.64978,1.14000
2.65446,1.16000
2.65902,1.18000
2.66363,1.20000
2.66824,1.22000
2.67286,1.24000
2.67744,1.26000
2.68189,1.28000
2.68656,1.30000
2.69112,1.32000
2.69562,1.34000
2.70011,1.36000
2.70466,1.38000
2.70920,1.40000
2.71368,1.42000
2.71805,1.44000
2.72264,1.46000
2.72709,1.48000
2.73151,1.50000
2.73588,1.52000
2.74035,1.54000
2.74482,1.56000
2.74917,1.58000
2.75361,1.60000
2.75795,1.62000
2.76253,1.64000
2.76687,1.66000
2.77110,1.68000
2.77549,1.70000
2.77988,1.72000
2.78432,1.74000
2.78863,1.76000
2.79288,1.78000
2.79734,1.80000
2.80163,1.82000
2.80595,1.84000
2.81013,1.86000
2.81442,1.88000
2.81883,1.90000
2.82299,1.92000
2.82724,1.94000
2.83145,1.96000
2.83587,1.98000
2.84013,2.00000
2.84419,2.02000
2.84851,2.04000
2.85274,2.06000
2.85685,2.08000
2.86097,2.10000
2.86514,2.12000
2.86944,2.14000
2.87366,2.16000
2.87786,2.18000
2.88186,2.20000
2.88614,2.22000
2.89029,2.24000
2.89435,2.26000
2.89838,2.28000
2.90250,2.30000
2.90672,2.32000
2.91076,2.34000
2.91470,2.36000
2.91892,2.38000
2.92292,2.40000
2.92703,2.42000
2.93109,2.44000
2.93516,2.46000
2.93921,2.48000
2.94333,2.50000
2.94726,2.52000
2.95131,2.54000
2.95525,2.56000
2.95918,2.58000
2.96317,2.60000
2.96729,2.62000
2.97136,2.64000
2.97534,2.66000
2.97914,2.68000
2.98328,2.70000
2.98719,2.72000
2.99089,2.74000
2.99509,2.76000
2.99907,2.78000
3.00278,2.80000
3.00685,2.82000
3.01056,2.84000
3.01453,2.86000
3.01827,2.88000
3.02216,2.90000
3.02608,2.92000
3.03000,2.94000
3.03380,2.96000
3.03776,2.98000
3.04143,3.00000
3.04521,3.02000
3.04915,3.04000
3.05298,3.06000
3.05674,3.08000
3.06065,3.10000
3.06422,3.12000
3.06822,3.14000
3.07205,3.16000
3.07558,3.18000
3.07930,3.20000
3.08310,3.22000
3.08690,3.24000
3.09049,3.26000
3.09425,3.28000
3.09775,3.30000
3.10175,3.32000
3.10538,3.34000
3.10868,3.36000
3.11270,3.38000
3.11639,3.40000
3.11972,3.42000
3.12361,3.44000
3.12714,3.46000
3.13057,3.48000
3.13424,3.50000
3.13788,3.52000
3.14152,3.54000
3.14469,3.56000
3.14844,3.58000
3.15194,3.60000
3.15552,3.62000
3.15897,3.64000
3.16241,3.66000
3.16536,3.68000
3.16926,3.70000
3.17222,3.72000
3.17577,3.74000
3.17885,3.76000
3.18208,3.78000
3.18542,3.80000
3.18913,3.82000
3.19227,3.84000
3.19500,3.86000
3.19857,3.88000
3.20143,3.90000
3.20450,3.92000
3.20750,3.94000
3.21056,3.96000
3.21389,3.98000
3.21611,4.00000
3.21937,4.02000
3.22188,4.04000
3.22437,4.06000
3.22643,4.08000
3.22929,4.10000
3.23154,4.12000
3.23308,4.14000
3.23545,4.16000
3.23727,4.18000
3.23727,4.20000
3.23900,4.22000
3.23889,4.24000
3.23889,4.26000
3.23875,4.28000
3.23857,4.30000
3.23500,4.32000
3.23167,4.34000
3.22600,4.36000
3.21400,4.38000
3.20250,4.40000
3.18000,4.41750
3.17667,4.42000
3.16000,4.43000
3.13500,4.44000
3.12000,4.44429
3.10000,4.44875
3.08000,4.45375
3.06000,4.45667
3.03500,4.46000
3.00000,4.46455
2.98000,4.46636
2.96000,4.46750
2.94000,4.47000
2.92000,4.47154
2.90000,4.47214
2.88000,4.47357
2.86000,4.47437
2.84000,4.47562
2.82000,4.47687
2.80000,4.47706
2.78000,4.47824
2.76000,4.47842
2.73000,4.48000
2.70000,4.48050
2.68000,4.48143
2.66000,4.48143
2.64000,4.48227
2.62000,4.48227
2.60000,4.48304
2.58000,4.48304
2.56000,4.48375
2.54000,4.48375
2.52000,4.48440
2.50000,4.48440
2.48000,4.48500
2.46000,4.48500
2.44000,4.48556
2.42000,4.48556
2.40000,4.48607
2.38000,4.48607
2.36000,4.48655
2.34000,4.48655
2.32000,4.48700
2.30000,4.48700
2.28000,4.48742
2.26000,4.48742
2.24000,4.48781
2.22000,4.48781
2.20000,4.48818
2.18000,4.48818
2.16000,4.48818
2.14000,4.48853
2.12000,4.48853
2.10000,4.48886
2.08000,4.48886
2.06000,4.48886
2.04000,4.48917
2.02000,4.48917
2.00000,4.48946
1.98000,4.48946
1.96000,4.48946
1.94000,4.48974
1.92000,4.48974
1.90000,4.49000
1.88000,4.49000
1.86000,4.49000
1.84000,4.49025
1.82000,4.49025
1.80000,4.49025
1.78000,4.49049
1.76000,4.49049
1.74000,4.49049
1.72000,4.49071
1.70000,4.49071
1.66000,4.49071
1.64000,4.49093
1.62000,4.49093
1.60000,4.49093
1.58000,4.49114
1.56000,4.49114
1.54000,4.49114
1.52000,4.49114
1.50000,4.49133
1.48000,4.49133
1.46000,4.49133
1.44000,4.49133
1.42000,4.49152
1.38000,4.49152
1.36000,4.49152
1.34000,4.49170
1.32000,4.49170
1.30000,4.49170
1.28000,4.49170
1.26000,4.49170
1.24000,4.49188
1.22000,4.49188
1.20000,4.49188
1.18000,4.49188
1.14000,4.49188
1.12000,4.49204
1.10000,4.49204
1.08000,4.49204
1.06000,4.49204
1.04000,4.49204
1.02000,4.49204
1.00000,4.49204
0.98000,4.49220
0.94000,4.49220
0.92000,4.49220
0.90000,4.49220
0.88000,4.49220
0.86000,4.49220
0.82000,4.49220
0.80000,4.49220
0.78000,4.49235
0.76000,4.49235
0.74000,4.49235
0.70000,4.49235
0.68000,4.49235
0.66000,4.49235
0.64000,4.49235
0.62000,4.49235
0.60000,4.49235
0.56000,4.49235
0.54000,4.49235
0.52000,4.49235
0.50000,4.49235
0.46000,4.49235
0.44000,4.49235
0.40000,4.49235
0.38000,4.49235
0.34000,4.49235
0.32000,4.49235
0.28000,4.49235
0.26000,4.49235
0.24000,4.49235
0.22000,4.49235
0.20000,4.49220
0.18000,4.49220
0.14000,4.49220
0.12000,4.49220
0.08000,4.49220
0.06000,4.49220
0.02000,4.49220
0.00000,4.49204
3.43632,5.00000
3.43389,4.98000
3.43118,4.96000
3.42882,4.94000
3.42688,4.92000
3.42467,4.90000
3.42214,4.88000
3.42071,4.86000
3.41917,4.84000
3.41750,4.82000
3.41545,4.80000
3.41500,4.78000
3.41500,4.76000
3.41444,4.74000
3.41444,4.72000
3.41625,4.70000
3.41857,4.68000
3.42167,4.66000
3.42833,4.64000
3.43750,4.62000
3.45250,4.60000
3.44000,4.61667
4.00000,4.51444
3.98000,4.51500
3.96000,4.51560
3.94000,4.51625
3.92000,4.51625
3.90000,4.51696
3.88000,4.51773
3.86000,4.51857
3.83000,4.52000
3.80000,4.52167
3.78000,4.52176
3.76000,4.52313
3.74000,4.52467
3.72000,4.52600
3.70000,4.52786
3.68000,4.52929
3.66000,4.53083
3.64000,4.53364
3.62000,4.53545
3.59000,4.54000
3.56000,4.54625
3.54000,4.55125
3.51500,4.56000
3.50000,4.56500
3.47667,4.58000
3.46000,4.59250
3.48000,4.57750
